"";"ID";"Inserir.localização.geográfica.do.serviço (Atualizar com base no Google Earth)";"groups1a._geo_kml_latitude";"groups1a._geo_kml_longitude";"groups1a._geo_kml_altitude";"groups1a._geo_kml_precision"
"220";NA;NA;NA;NA;NA;NA
"221";NA;NA;NA;NA;NA;NA
"222";NA;NA;NA;NA;NA;NA
"223";NA;NA;NA;NA;NA;NA
"224";NA;NA;NA;NA;NA;NA
"225";NA;NA;NA;NA;NA;NA
"226";NA;NA;NA;NA;NA;NA
"227";NA;NA;NA;NA;NA;NA
"228";NA;NA;NA;NA;NA;NA
"229";NA;NA;NA;NA;NA;NA
"230";NA;NA;NA;NA;NA;NA
"231";NA;NA;NA;NA;NA;NA
"232";NA;NA;NA;NA;NA;NA
"233";NA;NA;NA;NA;NA;NA
"234";NA;NA;NA;NA;NA;NA
"235";NA;NA;NA;NA;NA;NA
"236";NA;NA;NA;NA;NA;NA
"237";NA;NA;NA;NA;NA;NA
"238";NA;NA;NA;NA;NA;NA
"239";NA;NA;NA;NA;NA;NA
"240";NA;NA;NA;NA;NA;NA
"241";NA;NA;NA;NA;NA;NA
"242";NA;NA;NA;NA;NA;NA
"243";NA;NA;NA;NA;NA;NA
"244";NA;NA;NA;NA;NA;NA
"245";NA;NA;NA;NA;NA;NA
"246";NA;NA;NA;NA;NA;NA
"247";NA;NA;NA;NA;NA;NA
"248";NA;NA;NA;NA;NA;NA
"249";NA;NA;NA;NA;NA;NA
"250";NA;NA;NA;NA;NA;NA
"251";NA;NA;NA;NA;NA;NA
"252";NA;NA;NA;NA;NA;NA
"253";NA;NA;NA;NA;NA;NA
"254";NA;NA;NA;NA;NA;NA
"255";NA;NA;NA;NA;NA;NA
"256";NA;NA;NA;NA;NA;NA
"257";NA;NA;NA;NA;NA;NA
"258";NA;NA;NA;NA;NA;NA
"259";NA;NA;NA;NA;NA;NA
"260";NA;NA;NA;NA;NA;NA
"261";NA;NA;NA;NA;NA;NA
"262";NA;NA;NA;NA;NA;NA
"263";NA;NA;NA;NA;NA;NA
"264";NA;NA;NA;NA;NA;NA
"265";NA;NA;NA;NA;NA;NA
"266";NA;NA;NA;NA;NA;NA
"267";NA;NA;NA;NA;NA;NA
"268";NA;NA;NA;NA;NA;NA
"269";NA;NA;NA;NA;NA;NA
"270";NA;NA;NA;NA;NA;NA
"271";NA;NA;NA;NA;NA;NA
"272";NA;NA;NA;NA;NA;NA
"273";NA;NA;NA;NA;NA;NA
"274";NA;NA;NA;NA;NA;NA
"275";NA;NA;NA;NA;NA;NA
"276";NA;NA;NA;NA;NA;NA
"277";NA;NA;NA;NA;NA;NA
"278";NA;NA;NA;NA;NA;NA
"279";NA;NA;NA;NA;NA;NA
"280";NA;NA;NA;NA;NA;NA
"281";NA;NA;NA;NA;NA;NA
"282";NA;NA;NA;NA;NA;NA
"283";NA;NA;NA;NA;NA;NA
"284";NA;NA;NA;NA;NA;NA
"285";NA;NA;NA;NA;NA;NA
"286";NA;NA;NA;NA;NA;NA
"287";NA;NA;NA;NA;NA;NA
"288";NA;NA;NA;NA;NA;NA
"289";NA;NA;NA;NA;NA;NA
"290";NA;NA;NA;NA;NA;NA
"291";NA;NA;NA;NA;NA;NA
"292";NA;NA;NA;NA;NA;NA
"293";NA;NA;NA;NA;NA;NA
"294";NA;NA;NA;NA;NA;NA
"295";NA;NA;NA;NA;NA;NA
"296";NA;NA;NA;NA;NA;NA
"297";NA;NA;NA;NA;NA;NA
"298";NA;NA;NA;NA;NA;NA
"299";NA;NA;NA;NA;NA;NA
"300";NA;NA;NA;NA;NA;NA
"301";NA;NA;NA;NA;NA;NA
"302";NA;NA;NA;NA;NA;NA
"303";NA;NA;NA;NA;NA;NA
"304";NA;NA;NA;NA;NA;NA
"305";NA;NA;NA;NA;NA;NA
"306";NA;NA;NA;NA;NA;NA
"307";NA;NA;NA;NA;NA;NA
"308";NA;NA;NA;NA;NA;NA
"309";NA;NA;NA;NA;NA;NA
"310";NA;NA;NA;NA;NA;NA
"311";NA;NA;NA;NA;NA;NA
"312";NA;NA;NA;NA;NA;NA
"313";NA;NA;NA;NA;NA;NA
"314";NA;NA;NA;NA;NA;NA
"315";NA;NA;NA;NA;NA;NA
"316";NA;NA;NA;NA;NA;NA
"317";NA;NA;NA;NA;NA;NA
"318";NA;NA;NA;NA;NA;NA
"319";NA;NA;NA;NA;NA;NA
"320";NA;NA;NA;NA;NA;NA
