"label_name_a"  "var_name"  "label_file"
"REDE COMPLETA - Sem Zeros"  "full_no_zero"  "~/SNArRDJF/REDE_COMPLETA_Sem_Zeros.Rmd"
"ALL RELATIONSHIPS"  "x2"  "~/SNArRDJF/RELACIONAMENTO_ALL.Rmd"
"RELACIONAMENTO FORMAL"  "var0"  "~/SNArRDJF/RELACIONAMENTO_FORMAL.Rmd"
"REFERENCIA DE ENVIO"  "var1"  "~/SNArRDJF/REFERENCIA_DE_ENVIO.Rmd"
"REFERENCIA DE RECEBIMENTO CONTRAREFERENCIA"  "var2"  "~/SNArRDJF/REFERENCIA_DE_RECEBIMENTO_CONTRAREFERENCIA.Rmd"
"COORDENAÇÃO CONJUNTA DE CASOS"  "var3"  "~/SNArRDJF/COORDENAÇÃO_CONJUNTA_DE_CASOS.Rmd"
"PROGRAMAS EM CONJUNTO"  "var4"  "~/SNArRDJF/PROGRAMAS_EM_CONJUNTO.Rmd"
"OFERTA DE TREINAMENTOS/CAPACITAÇÕES"  "var5"  "~/SNArRDJF/OFERTA_DE_TREINAMENTOS_CAPACITAÇÕES.Rmd"
"RECEBER TREINAMENTOS/CAPACITAÇÕES"  "var6"  "~/SNArRDJF/RECEBER_TREINAMENTOS_CAPACITAÇÕES.Rmd"
"ACESSO A) Este serviço mostra-se disponível para realização de ativades em conjunto."  "var7"  "~/SNArRDJF/ACESSO_A_Disponível_para_ativades.Rmd"
"ACESSO B) O horário de funcionamento deste serviço possibilita a realização de ações em conjunto."  "var8"  "~/SNArRDJF/ACESSO_B_Suficiente_horário_de_funcionamento.Rmd"
"ACESSO C) Este serviço disponibiliza informações sobre suas ativades para o seu serviço."  "var9"  "~/SNArRDJF/ACESSO_C_Informações_sobre_suas_ativades.Rmd"
"ACESSO D) O seu serviço consegue acessar facilmente informações deste serviço."  "var10"  "~/SNArRDJF/ACESSO_D_Acesso_informações_deste_serviço.Rmd"
"ACESSO E) Os canais de comunicação com este serviço são suficientes para realização de ações em conjunto."  "var11"  "~/SNArRDJF/ACESSO_E_Canais_de_comunicação_suficientes.Rmd"
"ACESSO F) Seu serviço tem facilade de entrar em contato com este serviço para realizar ativades em conjunto."  "var12"  "~/SNArRDJF/ACESSO_F_Facilade_de_entrar_em_contato.Rmd"
"ACESSO G) O acesso geográfico a este serviço impede a realização de ativades em conjunto. "  "var13"  "~/SNArRDJF/ACESSO_G_O_acesso_geográfico_impede.Rmd"
"ACESSO H) O custo para acessar este serviço impede a realização de ativades em conjunto."  "var14"  "~/SNArRDJF/ACESSO_H_O_custo_impede_ativades.Rmd"
"ACESSO I) O tempo gasto para acessar este serviço impede a realização ativades em conjunto."  "var15"  "~/SNArRDJF/ACESSO_I_O_tempo_impede_ativades.Rmd"
"CONFIANÇA A) Confia na qualificação profissional da equipe deste serviço "  "var16"  "~/SNArRDJF/CONFIANÇA_A_Qualificação_profissional.Rmd"
"CONFIANÇA B) Confia na capacade técnica da equipe deste serviço."  "var17"  "~/SNArRDJF/CONFIANÇA_B_Capacade_técnica.Rmd"
"CONFIANÇA C) Confia nas ações realizadas por este serviço."  "var18"  "~/SNArRDJF/CONFIANÇA_C_Ações_realizadas.Rmd"
"CONFIANÇA D) Confia em compartilhar informações internas com este serviço. "  "var19"  "~/SNArRDJF/CONFIANÇA_D_Compartilhar_informações_internas.Rmd"
"CONFIANÇA E) Confia nas informações recebas deste serviço."  "var20"  "~/SNArRDJF/CONFIANÇA_E_Confia_nas_informações_recebidas.Rmd"
"CONFIANÇA F) Confia em realizar ações conjuntas com este serviço."  "var21"  "~/SNArRDJF/CONFIANÇA_F_Confia_em_realizar_ações_conjuntas.Rmd"
"CONFIANÇA G) Está satisfeito com as ações desempenhadas por este serviço."  "var22"  "~/SNArRDJF/CONFIANÇA_G_Está_satisfeito_com_as_ações_deste_serviço.Rmd"
"CONFIANÇA H) Espera que o relacionamento com este serviço continue nos próximos anos."  "var23"  "~/SNArRDJF/CONFIANÇA_H_Relacionamento_continuará_nos_próximos_anos.Rmd"
"CONFIANÇA I) Espera que o relacionamento com este serviço se fortaleça nos próximos anos."  "var24"  "~/SNArRDJF/CONFIANÇA_I_Relacionamento_se_fortalecerá_nos_próximos_anos.Rmd"
"ATIVIDADE"  "atividade"  "~/SNArRDJF/ATIVIDADE.Rmd"
"ACESSO"  "acesso"  "~/SNArRDJF/ACESSO.Rmd"
"ACESSO ITENS POSITIVOS "  "acesso_positivo"  "~/SNArRDJF/ACESSO_POSITIVO.Rmd"
"ACESSO ITENS NEGATIVOS"  "acesso_negativo"  "~/SNArRDJF/ACESSO_NEGATIVO.Rmd"
"CONFIANÇA"  "confianca"  "~/SNArRDJF/CONFIANÇA.Rmd"
"ACESSO E CONFIANÇA"  "acessoeconfianca"  "~/SNArRDJF/ACESSO_E_CONFIANÇA.Rmd"
"TOTAL"  "total"  "~/SNArRDJF/TOTAL.Rmd"
